age,gender,pattern
40,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
47,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
41,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
44,Mężczyzna,"[0, 1, 2, 5, 8]"
54,Kobieta,"[3, 4, 5, 8]"
19,Kobieta,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
21,Mężczyzna,"[0, 3, 6, 7, 8]"
18,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
26,Mężczyzna,"[0, 3, 6, 4, 5, 8]"
23,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
59,Kobieta,"[0, 3, 6, 7, 8]"
21,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
21,Mężczyzna,"[3, 4, 1, 0, 6, 7, 8, 5, 2]"
47,Mężczyzna,"[0, 1, 2, 5, 8, 7, 6]"
22,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
55,Mężczyzna,"[0, 3, 6, 7, 8]"
23,Mężczyzna,"[2, 4, 6, 3, 0, 1, 7, 8, 5]"
20,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
21,Mężczyzna,"[0, 1, 4, 7, 8]"
20,Kobieta,"[0, 1, 2, 5, 8]"
25,Mężczyzna,"[0, 1, 2, 5, 8, 6, 3, 4]"
19,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
43,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
68,Mężczyzna,"[3, 4, 5, 8]"
18,Mężczyzna,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
20,Mężczyzna,"[3, 4, 7, 8]"
20,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
25,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
47,Mężczyzna,"[6, 3, 0, 1, 2]"
48,Mężczyzna,"[2, 1, 0, 3, 6]"
20,Kobieta,"[3, 4, 5, 8]"
21,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
19,Mężczyzna,"[1, 6, 7, 8, 4, 0, 3, 5, 2]"
19,Mężczyzna,"[3, 4, 5, 8]"
23,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7]"
22,Kobieta,"[6, 7, 8, 5, 4, 3, 0, 1, 2]"
25,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8, 5, 3]"
20,Mężczyzna,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
21,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
19,Kobieta,"[3, 4, 5, 8]"
34,Mężczyzna,"[0, 3, 6, 7, 8]"
19,Kobieta,"[0, 3, 4, 5, 8]"
21,Mężczyzna,"[6, 3, 7, 5, 8]"
42,Kobieta,"[3, 4, 5, 8]"
20,Mężczyzna,"[2, 4, 6, 7, 8, 5, 3, 0, 1]"
20,Kobieta,"[0, 3, 6, 7, 8]"
24,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
71,Kobieta,"[0, 1, 2, 8]"
20,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
48,Mężczyzna,"[0, 1, 2, 5, 8]"
54,Mężczyzna,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
56,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
30,Kobieta,"[6, 3, 1, 5, 8]"
21,Kobieta,"[6, 7, 8, 0]"
50,Mężczyzna,"[0, 3, 6, 7]"
32,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
59,Kobieta,"[3, 4, 5, 8]"
21,Mężczyzna,"[0, 1, 4, 7, 8]"
23,Kobieta,"[0, 4, 8, 5, 2]"
26,Mężczyzna,"[2, 5, 8, 7, 6]"
19,Kobieta,"[6, 3, 0, 2, 5, 8]"
19,Kobieta,"[0, 4, 8, 5, 1]"
29,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
18,Mężczyzna,"[0, 7, 2, 1, 4, 5, 8]"
19,Mężczyzna,"[4, 1, 0, 3, 6, 7, 8, 5, 2]"
19,Mężczyzna,"[1, 0, 3, 6, 7, 8, 5, 2, 4]"
22,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
22,Kobieta,"[0, 3, 4, 1, 2, 5, 8, 7, 6]"
21,Kobieta,"[0, 3, 6, 7, 8]"
18,Mężczyzna,"[0, 3, 6, 7, 8]"
35,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
25,Kobieta,"[0, 1, 4, 7]"
48,Mężczyzna,"[3, 4, 5, 8]"
67,Mężczyzna,"[3, 4, 5, 8]"
20,Kobieta,"[0, 1, 4, 7, 8]"
45,Mężczyzna,"[0, 3, 6, 7, 8]"
21,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
18,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
23,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
50,Mężczyzna,"[3, 4, 5, 8]"
22,Kobieta,"[0, 2, 4, 6, 7, 8, 5]"
70,Kobieta,"[3, 4, 5, 8]"
33,Mężczyzna,"[0, 3, 6, 7, 8]"
29,Mężczyzna,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
18,Kobieta,"[6, 3, 0, 4, 2]"
49,Kobieta,"[3, 4, 5, 8]"
18,Mężczyzna,"[8, 5, 1, 0, 4, 7, 6, 3, 2]"
48,Mężczyzna,"[0, 3, 6, 7, 8]"
23,Mężczyzna,"[2, 5, 8, 7, 6]"
20,Mężczyzna,"[5, 2, 1, 0, 3, 4, 8, 7, 6]"
21,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
18,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
19,Kobieta,"[2, 1, 0, 6, 7, 8, 5, 4]"
27,Kobieta,"[3, 4, 5, 8]"
22,Mężczyzna,"[0, 3, 6, 7, 8]"
19,Kobieta,"[3, 4, 5, 8]"
45,Kobieta,"[3, 4, 5, 8]"
24,Mężczyzna,"[0, 1, 4, 7, 8]"
21,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
20,Kobieta,"[0, 1, 2, 5, 8, 7, 6]"
21,Mężczyzna,"[0, 3, 4, 5, 8]"
23,Mężczyzna,"[2, 5, 8, 7]"
86,Mężczyzna,"[0, 3, 6, 7, 8]"
21,Mężczyzna,"[1, 0, 3, 4, 5, 8, 7]"
48,Kobieta,"[2, 1, 0, 3, 6, 7, 8, 5, 4]"
41,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
38,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
24,Mężczyzna,"[2, 1, 0, 6, 7, 8]"
22,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
30,Kobieta,"[0, 3, 6, 7, 8]"
29,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
52,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
22,Kobieta,"[3, 4, 5, 8]"
23,Kobieta,"[0, 3, 6, 4, 2, 5, 8, 7, 1]"
24,Kobieta,"[0, 3, 6, 4, 2, 5, 8]"
21,Mężczyzna,"[6, 3, 7, 5, 8]"
24,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
40,Mężczyzna,"[1, 4, 7, 8]"
21,Mężczyzna,"[0, 1, 2, 5, 8]"
24,Mężczyzna,"[3, 1, 5, 7, 6, 4, 2, 8]"
18,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
20,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
20,Mężczyzna,"[2, 4, 6, 3, 0, 1, 7, 8, 5]"
52,Mężczyzna,"[6, 7, 8, 5, 2]"
23,Mężczyzna,"[6, 4, 0, 1, 3, 7, 2, 5, 8]"
22,Kobieta,"[0, 3, 6, 4, 1, 2, 5, 8, 7]"
30,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
18,Kobieta,"[1, 4, 5, 2]"
33,Kobieta,"[3, 4, 5, 8]"
28,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
20,Mężczyzna,"[6, 4, 2, 5, 8, 7]"
25,Kobieta,"[0, 3, 4, 7, 8, 5, 2, 1, 6]"
26,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
44,Mężczyzna,"[1, 4, 7, 8]"
20,Kobieta,"[3, 4, 5, 8]"
23,Kobieta,"[0, 1, 4, 7, 8]"
24,Kobieta,"[3, 4, 5, 8]"
21,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
